AÑO,ENTIDAD,Clave_Entidad,SEXO,POBLACION,EDAD_PROMEDIO
2003,Aguascalientes,AG,Hombres,508743,25
2058,Aguascalientes,AG,Mujeres,965644,44
2058,Aguascalientes,AG,Total,1886653,43
1993,Aguascalientes,AG,Mujeres,418809,24
1988,Aguascalientes,AG,Hombres,345656,22
2038,Aguascalientes,AG,Hombres,855063,35
2042,Aguascalientes,AG,Hombres,876689,36
1986,Aguascalientes,AG,Hombres,323441,22
2000,Aguascalientes,AG,Hombres,472780,24
1986,Aguascalientes,AG,Mujeres,333790,23
1986,Aguascalientes,AG,Total,657231,22
2042,Aguascalientes,AG,Total,1793128,37
1994,Aguascalientes,AG,Hombres,416608,23
1994,Aguascalientes,AG,Mujeres,431143,24
1999,Aguascalientes,AG,Total,948799,25
2039,Aguascalientes,AG,Total,1760380,36
1993,Aguascalientes,AG,Total,823342,23
1993,Aguascalientes,AG,Hombres,404533,23
2061,Aguascalientes,AG,Hombres,922092,43
1970,Aguascalientes,AG,Hombres,179225,21
2064,Aguascalientes,AG,Total,1887674,45
2039,Aguascalientes,AG,Hombres,860939,35
2037,Aguascalientes,AG,Hombres,848916,35
2064,Aguascalientes,AG,Mujeres,966446,45
2064,Aguascalientes,AG,Hombres,921228,44
1991,Aguascalientes,AG,Hombres,380507,23
2037,Aguascalientes,AG,Total,1735670,36
1991,Aguascalientes,AG,Total,774794,23
1995,Aguascalientes,AG,Total,871727,24
2037,Aguascalientes,AG,Mujeres,886754,36
2057,Aguascalientes,AG,Total,1884734,42
2041,Aguascalientes,AG,Mujeres,911036,38
2042,Aguascalientes,AG,Mujeres,916439,38
2038,Aguascalientes,AG,Mujeres,893235,37
2039,Aguascalientes,AG,Mujeres,899441,37
2018,Aguascalientes,AG,Mujeres,719280,30
2057,Aguascalientes,AG,Mujeres,964613,43
2050,Aguascalientes,AG,Total,1855894,40
2014,Aguascalientes,AG,Total,1320036,28
2006,Aguascalientes,AG,Total,1115306,26
2035,Aguascalientes,AG,Total,1709063,35
2035,Aguascalientes,AG,Mujeres,873034,36
2035,Aguascalientes,AG,Hombres,836029,34
2055,Aguascalientes,AG,Total,1879231,42
2010,Aguascalientes,AG,Hombres,589843,26
2010,Aguascalientes,AG,Mujeres,620713,28
2010,Aguascalientes,AG,Total,1210556,27
2066,Aguascalientes,AG,Mujeres,964729,46
2052,Aguascalientes,AG,Total,1866757,41
2052,Aguascalientes,AG,Mujeres,955412,42
2052,Aguascalientes,AG,Hombres,911345,40
2014,Aguascalientes,AG,Hombres,647766,27
2014,Aguascalientes,AG,Mujeres,672270,29
1980,Aguascalientes,AG,Mujeres,267019,22
2006,Aguascalientes,AG,Hombres,542851,26
2005,Aguascalientes,AG,Total,1092345,26
2005,Aguascalientes,AG,Mujeres,560097,26
2055,Aguascalientes,AG,Mujeres,961749,43
2007,Aguascalientes,AG,Mujeres,584503,27
2007,Aguascalientes,AG,Hombres,553201,26
2055,Aguascalientes,AG,Hombres,917482,41
2056,Aguascalientes,AG,Hombres,918948,41
2036,Aguascalientes,AG,Total,1722585,35
2036,Aguascalientes,AG,Mujeres,880024,36
2036,Aguascalientes,AG,Hombres,842561,34
2043,Aguascalientes,AG,Hombres,881270,37
2043,Aguascalientes,AG,Mujeres,921563,39
2043,Aguascalientes,AG,Total,1802833,38
1984,Aguascalientes,AG,Total,612513,22
1984,Aguascalientes,AG,Mujeres,310589,23
1984,Aguascalientes,AG,Hombres,301924,22
2005,Aguascalientes,AG,Hombres,532248,25
1982,Aguascalientes,AG,Hombres,281159,21
1980,Aguascalientes,AG,Total,528402,22
1980,Aguascalientes,AG,Hombres,261383,21
1982,Aguascalientes,AG,Total,569398,22
2053,Aguascalientes,AG,Mujeres,957790,42
2053,Aguascalientes,AG,Hombres,913656,40
2033,Aguascalientes,AG,Total,1680830,34
2033,Aguascalientes,AG,Hombres,822534,33
2013,Aguascalientes,AG,Hombres,633604,27
2044,Aguascalientes,AG,Hombres,885533,37
2044,Aguascalientes,AG,Mujeres,926417,39
2044,Aguascalientes,AG,Total,1811950,38
1981,Aguascalientes,AG,Total,548449,22
1981,Aguascalientes,AG,Mujeres,277386,22
1981,Aguascalientes,AG,Hombres,271063,21
2012,Aguascalientes,AG,Hombres,619125,27
2012,Aguascalientes,AG,Mujeres,646847,28
2018,Aguascalientes,AG,Total,1413003,29
1990,Aguascalientes,AG,Mujeres,382155,23
2011,Aguascalientes,AG,Mujeres,633768,28
2053,Aguascalientes,AG,Total,1871446,41
2011,Aguascalientes,AG,Hombres,604352,27
2066,Aguascalientes,AG,Total,1884455,45
2034,Aguascalientes,AG,Hombres,829357,34
2013,Aguascalientes,AG,Total,1293332,28
2015,Aguascalientes,AG,Hombres,660444,28
2015,Aguascalientes,AG,Mujeres,684205,29
2015,Aguascalientes,AG,Total,1344649,28
2069,Aguascalientes,AG,Total,1876351,46
2069,Aguascalientes,AG,Mujeres,960382,47
2006,Aguascalientes,AG,Mujeres,572455,27
1982,Aguascalientes,AG,Mujeres,288239,22
1973,Aguascalientes,AG,Hombres,202077,21
1973,Aguascalientes,AG,Mujeres,205278,22
2066,Aguascalientes,AG,Hombres,919726,44
2013,Aguascalientes,AG,Mujeres,659728,28
2034,Aguascalientes,AG,Total,1695148,34
2033,Aguascalientes,AG,Mujeres,858296,35
2034,Aguascalientes,AG,Mujeres,865791,35
2069,Aguascalientes,AG,Hombres,915969,45
2012,Aguascalientes,AG,Total,1265972,27
2011,Aguascalientes,AG,Total,1238120,27
1974,Aguascalientes,AG,Hombres,210274,21
2009,Aguascalientes,AG,Total,1185148,27
2026,Aguascalientes,AG,Mujeres,799172,32
2026,Aguascalientes,AG,Total,1567559,32
2027,Aguascalientes,AG,Hombres,777072,31
2027,Aguascalientes,AG,Mujeres,808338,33
2027,Aguascalientes,AG,Total,1585410,32
1975,Aguascalientes,AG,Total,440897,21
1975,Aguascalientes,AG,Mujeres,222273,22
1975,Aguascalientes,AG,Hombres,218624,21
2022,Aguascalientes,AG,Hombres,730684,29
2048,Aguascalientes,AG,Mujeres,943113,40
2022,Aguascalientes,AG,Mujeres,760442,31
2022,Aguascalientes,AG,Total,1491126,30
2023,Aguascalientes,AG,Hombres,740446,30
2025,Aguascalientes,AG,Total,1549118,31
2068,Aguascalientes,AG,Hombres,917441,45
1974,Aguascalientes,AG,Mujeres,213689,22
2047,Aguascalientes,AG,Hombres,896751,38
2046,Aguascalientes,AG,Mujeres,935305,40
2046,Aguascalientes,AG,Hombres,893245,38
2050,Aguascalientes,AG,Hombres,906080,39
2019,Aguascalientes,AG,Hombres,704939,29
2019,Aguascalientes,AG,Mujeres,731399,30
1977,Aguascalientes,AG,Total,475241,21
1977,Aguascalientes,AG,Mujeres,239739,22
1977,Aguascalientes,AG,Hombres,235502,21
2046,Aguascalientes,AG,Total,1828550,39
2068,Aguascalientes,AG,Mujeres,962060,46
2068,Aguascalientes,AG,Total,1879501,46
2047,Aguascalientes,AG,Total,1836095,39
2047,Aguascalientes,AG,Mujeres,939344,40
2028,Aguascalientes,AG,Total,1602622,32
2028,Aguascalientes,AG,Mujeres,817251,33
2028,Aguascalientes,AG,Hombres,785371,31
2050,Aguascalientes,AG,Mujeres,949814,41
2023,Aguascalientes,AG,Mujeres,770393,31
2025,Aguascalientes,AG,Mujeres,789763,32
2004,Aguascalientes,AG,Total,1067693,26
1983,Aguascalientes,AG,Hombres,291445,21
2065,Aguascalientes,AG,Hombres,920567,44
2065,Aguascalientes,AG,Mujeres,965699,46
2065,Aguascalientes,AG,Total,1886266,45
1974,Aguascalientes,AG,Total,423963,21
2026,Aguascalientes,AG,Hombres,768387,31
2008,Aguascalientes,AG,Total,1161188,27
1972,Aguascalientes,AG,Hombres,194108,21
1972,Aguascalientes,AG,Mujeres,197135,22
1972,Aguascalientes,AG,Total,391243,22
2054,Aguascalientes,AG,Total,1875621,41
2054,Aguascalientes,AG,Hombres,915709,41
2009,Aguascalientes,AG,Hombres,576718,26
2009,Aguascalientes,AG,Mujeres,608430,27
1983,Aguascalientes,AG,Total,590749,22
2007,Aguascalientes,AG,Total,1137704,26
1983,Aguascalientes,AG,Mujeres,299304,22
2008,Aguascalientes,AG,Mujeres,596631,27
1973,Aguascalientes,AG,Total,407355,22
2008,Aguascalientes,AG,Hombres,564557,26
2048,Aguascalientes,AG,Hombres,900044,39
2025,Aguascalientes,AG,Hombres,759355,30
2024,Aguascalientes,AG,Hombres,750016,30
2024,Aguascalientes,AG,Mujeres,780169,32
2024,Aguascalientes,AG,Total,1530185,31
2023,Aguascalientes,AG,Total,1510839,31
2048,Aguascalientes,AG,Total,1843157,39
2029,Aguascalientes,AG,Total,1619234,33
2029,Aguascalientes,AG,Mujeres,825919,33
2029,Aguascalientes,AG,Hombres,793315,32
1976,Aguascalientes,AG,Hombres,227038,21
2016,Aguascalientes,AG,Hombres,671636,28
2051,Aguascalientes,AG,Total,1861569,40
1976,Aguascalientes,AG,Total,458005,21
1976,Aguascalientes,AG,Mujeres,230967,22
2058,Baja California,BC,Total,5229092,45
1992,Baja California,BC,Mujeres,931201,25
1999,Baja California,BC,Hombres,1230106,25
1999,Baja California,BC,Mujeres,1191536,26
1999,Baja California,BC,Total,2421642,25
1986,Baja California,BC,Total,1505677,23
1986,Baja California,BC,Mujeres,749352,24
2058,Baja California,BC,Hombres,2674008,44
1981,Baja California,BC,Hombres,617764,23
2058,Baja California,BC,Mujeres,2555084,45
1981,Baja California,BC,Mujeres,622428,23
1981,Baja California,BC,Total,1240192,23
2053,Baja California,BC,Hombres,2640986,43
2053,Baja California,BC,Mujeres,2528847,44
2012,Baja California,BC,Total,3280221,28
1986,Baja California,BC,Hombres,756325,23
1983,Baja California,BC,Total,1341966,23
1987,Baja California,BC,Total,1560841,24
2013,Baja California,BC,Hombres,1667747,28
2069,Baja California,BC,Total,5221794,48
2005,Baja California,BC,Mujeres,1417871,27
2027,Baja California,BC,Total,4244732,34
2012,Baja California,BC,Mujeres,1628373,29
2014,Baja California,BC,Total,3350881,29
2014,Baja California,BC,Mujeres,1668647,29
2014,Baja California,BC,Hombres,1682234,29
1998,Baja California,BC,Hombres,1190794,25
1996,Baja California,BC,Mujeres,1082021,25
1998,Baja California,BC,Mujeres,1155052,25
2052,Baja California,BC,Hombres,2631186,42
2052,Baja California,BC,Mujeres,2521243,43
2052,Baja California,BC,Total,5152429,43
1998,Baja California,BC,Total,2345846,25
2013,Baja California,BC,Total,3316849,29
2013,Baja California,BC,Mujeres,1649102,29
2012,Baja California,BC,Hombres,1651848,28
2044,Baja California,BC,Hombres,2534599,40
2005,Baja California,BC,Hombres,1459405,26
2016,Baja California,BC,Hombres,1755226,29
1987,Baja California,BC,Mujeres,775554,24
1987,Baja California,BC,Hombres,785287,23
2051,Baja California,BC,Total,5133533,42
2015,Baja California,BC,Total,3406162,29
