AÑO,ENTIDAD,Clave_Entidad,SEXO,POBLACION,EDAD_PROMEDIO
1990,Coahuila,COH,Mujeres,1019988,25
2006,Coahuila,COH,Total,2611380,28
2044,Coahuila,COH,Hombres,1996464,38
2006,Coahuila,COH,Mujeres,1309708,28
1983,Coahuila,COH,Total,1705732,23
2006,Coahuila,COH,Hombres,1301672,27
2037,Coahuila,COH,Total,3812606,36
2005,Coahuila,COH,Mujeres,1285382,28
2005,Coahuila,COH,Total,2567167,27
1972,Coahuila,COH,Hombres,633403,22
1972,Coahuila,COH,Mujeres,620201,22
1972,Coahuila,COH,Total,1253604,22
2063,Coahuila,COH,Mujeres,2083239,44
1991,Coahuila,COH,Hombres,1039024,24
2057,Coahuila,COH,Total,4164339,42
2055,Coahuila,COH,Total,4149181,41
2055,Coahuila,COH,Mujeres,2068498,42
2033,Coahuila,COH,Total,3689320,35
2033,Coahuila,COH,Mujeres,1845529,35
2033,Coahuila,COH,Hombres,1843791,34
2055,Coahuila,COH,Hombres,2080683,41
2057,Coahuila,COH,Hombres,2089045,41
2042,Coahuila,COH,Hombres,1974492,37
2064,Coahuila,COH,Hombres,2100415,43
2064,Coahuila,COH,Mujeres,2082847,44
2031,Coahuila,COH,Hombres,1810675,34
1989,Coahuila,COH,Mujeres,998324,24
1989,Coahuila,COH,Hombres,1000935,24
2062,Coahuila,COH,Hombres,2099408,43
1992,Coahuila,COH,Hombres,1054463,24
1992,Coahuila,COH,Mujeres,1054326,25
2070,Coahuila,COH,Mujeres,2071081,46
2070,Coahuila,COH,Total,4165245,45
2062,Coahuila,COH,Mujeres,2083162,44
2062,Coahuila,COH,Total,4182570,43
2031,Coahuila,COH,Mujeres,1812469,35
2061,Coahuila,COH,Total,4180928,43
1982,Coahuila,COH,Mujeres,827235,23
1982,Coahuila,COH,Hombres,830634,23
2070,Coahuila,COH,Hombres,2094164,45
1992,Coahuila,COH,Total,2108789,25
2009,Coahuila,COH,Mujeres,1386117,29
1982,Coahuila,COH,Total,1657869,23
2010,Coahuila,COH,Mujeres,1410200,29
2003,Coahuila,COH,Total,2478582,27
2039,Coahuila,COH,Hombres,1935884,36
2008,Coahuila,COH,Hombres,1344381,28
2030,Coahuila,COH,Mujeres,1795269,34
2008,Coahuila,COH,Mujeres,1361178,28
2039,Coahuila,COH,Mujeres,1933001,37
2008,Coahuila,COH,Total,2705559,28
2065,Coahuila,COH,Mujeres,2081996,45
1999,Coahuila,COH,Mujeres,1156253,26
2030,Coahuila,COH,Total,3588772,34
2054,Coahuila,COH,Total,4139778,41
2009,Coahuila,COH,Hombres,1368577,28
1999,Coahuila,COH,Total,2313666,26
2054,Coahuila,COH,Mujeres,2064287,42
2010,Coahuila,COH,Total,2803245,28
2016,Coahuila,COH,Mujeres,1530661,30
1989,Coahuila,COH,Total,1999259,24
2035,Coahuila,COH,Hombres,1875755,35
2031,Coahuila,COH,Total,3623144,34
1984,Coahuila,COH,Hombres,878648,23
2004,Coahuila,COH,Hombres,1261054,27
2004,Coahuila,COH,Mujeres,1261952,27
2004,Coahuila,COH,Total,2523006,27
2001,Coahuila,COH,Total,2388354,27
2001,Coahuila,COH,Mujeres,1193710,27
2034,Coahuila,COH,Total,3721262,35
1971,Coahuila,COH,Total,1216136,22
2041,Coahuila,COH,Hombres,1962400,37
2041,Coahuila,COH,Mujeres,1957851,38
2041,Coahuila,COH,Total,3920251,37
2002,Coahuila,COH,Total,2433494,27
2002,Coahuila,COH,Mujeres,1216223,27
2002,Coahuila,COH,Hombres,1217271,26
2064,Coahuila,COH,Total,4183262,44
1984,Coahuila,COH,Mujeres,875725,24
2043,Coahuila,COH,Total,3966322,38
2034,Coahuila,COH,Hombres,1859893,34
2043,Coahuila,COH,Mujeres,1980482,39
2010,Coahuila,COH,Hombres,1393045,28
2009,Coahuila,COH,Total,2754694,28
2065,Coahuila,COH,Hombres,2100388,44
2038,Coahuila,COH,Hombres,1921569,36
2037,Coahuila,COH,Mujeres,1905921,37
1973,Coahuila,COH,Total,1292036,22
2043,Coahuila,COH,Hombres,1985840,37
2045,Coahuila,COH,Hombres,2006433,38
1985,Coahuila,COH,Total,1803353,23
2056,Coahuila,COH,Total,4157372,42
2056,Coahuila,COH,Mujeres,2072166,42
2056,Coahuila,COH,Hombres,2085206,41
1984,Coahuila,COH,Total,1754373,23
2035,Coahuila,COH,Total,3752478,35
2035,Coahuila,COH,Mujeres,1876723,36
2061,Coahuila,COH,Mujeres,2082599,44
2061,Coahuila,COH,Hombres,2098329,42
2065,Coahuila,COH,Total,4182384,44
1997,Coahuila,COH,Hombres,1129657,25
2017,Coahuila,COH,Total,3089757,30
2046,Coahuila,COH,Mujeres,2010190,39
1998,Coahuila,COH,Mujeres,1143791,26
1981,Coahuila,COH,Total,1611025,23
1981,Coahuila,COH,Hombres,807362,22
2011,Coahuila,COH,Hombres,1417528,28
2012,Coahuila,COH,Hombres,1441060,28
2012,Coahuila,COH,Mujeres,1454050,29
2012,Coahuila,COH,Total,2895110,29
2027,Coahuila,COH,Total,3479300,33
2027,Coahuila,COH,Mujeres,1740940,33
2027,Coahuila,COH,Hombres,1738360,32
1993,Coahuila,COH,Hombres,1069581,25
1993,Coahuila,COH,Mujeres,1070550,25
2011,Coahuila,COH,Mujeres,1432812,29
2058,Coahuila,COH,Total,4170118,42
1999,Coahuila,COH,Hombres,1157413,26
2018,Coahuila,COH,Mujeres,1566625,31
2046,Coahuila,COH,Hombres,2015824,38
2028,Coahuila,COH,Hombres,1757451,33
2018,Coahuila,COH,Total,3126107,30
2022,Coahuila,COH,Total,3273658,31
2022,Coahuila,COH,Mujeres,1641247,32
2022,Coahuila,COH,Hombres,1632411,31
1996,Coahuila,COH,Total,2230415,26
1996,Coahuila,COH,Mujeres,1116593,26
1996,Coahuila,COH,Hombres,1113822,25
1978,Coahuila,COH,Mujeres,740239,23
1970,Coahuila,COH,Hombres,597209,22
1975,Coahuila,COH,Total,1370722,22
2025,Coahuila,COH,Hombres,1697873,32
1975,Coahuila,COH,Hombres,690809,22
2026,Coahuila,COH,Hombres,1718496,32
2011,Coahuila,COH,Total,2850340,29
2028,Coahuila,COH,Total,3516975,33
2028,Coahuila,COH,Mujeres,1759524,34
1978,Coahuila,COH,Total,1487807,22
2046,Coahuila,COH,Total,4026014,39
1970,Coahuila,COH,Mujeres,582953,22
2016,Coahuila,COH,Total,3053932,30
2026,Coahuila,COH,Total,3440385,33
1980,Coahuila,COH,Hombres,785553,22
1980,Coahuila,COH,Mujeres,781259,23
1980,Coahuila,COH,Total,1566812,23
2068,Coahuila,COH,Hombres,2098004,44
2068,Coahuila,COH,Mujeres,2076733,45
1998,Coahuila,COH,Hombres,1144230,26
2013,Coahuila,COH,Total,2938067,29
2042,Coahuila,COH,Total,3943942,38
2052,Coahuila,COH,Total,4117434,41
2052,Coahuila,COH,Hombres,2063247,40
2052,Coahuila,COH,Mujeres,2054187,41
2013,Coahuila,COH,Hombres,1463506,29
2020,Coahuila,COH,Total,3197122,31
2068,Coahuila,COH,Total,4174737,45
1970,Coahuila,COH,Total,1180162,22
2026,Coahuila,COH,Mujeres,1721889,33
2013,Coahuila,COH,Mujeres,1474561,30
1981,Coahuila,COH,Mujeres,803663,23
1986,Coahuila,COH,Hombres,927486,23
1986,Coahuila,COH,Mujeres,924871,24
1986,Coahuila,COH,Total,1852357,24
2053,Coahuila,COH,Total,4129165,41
2029,Coahuila,COH,Total,3553424,33
2029,Coahuila,COH,Mujeres,1777627,34
2029,Coahuila,COH,Hombres,1775797,33
2038,Coahuila,COH,Mujeres,1919731,37
1974,Coahuila,COH,Hombres,671505,22
1974,Coahuila,COH,Mujeres,659708,22
1974,Coahuila,COH,Total,1331213,22
2053,Coahuila,COH,Hombres,2069649,40
2058,Coahuila,COH,Hombres,2092228,42
1993,Coahuila,COH,Total,2140131,25
2058,Coahuila,COH,Mujeres,2077890,43
1978,Coahuila,COH,Hombres,747568,22
1998,Coahuila,COH,Total,2288021,26
2050,Coahuila,COH,Mujeres,2041821,41
2015,Coahuila,COH,Total,3017320,30
2060,Coahuila,COH,Total,4178342,43
2060,Coahuila,COH,Hombres,2096804,42
1997,Coahuila,COH,Total,2260205,26
2051,Coahuila,COH,Total,4104640,40
2025,Coahuila,COH,Total,3400257,32
2025,Coahuila,COH,Mujeres,1702384,33
2045,Coahuila,COH,Total,4007293,39
2047,Coahuila,COH,Hombres,2024732,38
2047,Coahuila,COH,Mujeres,2018958,40
2047,Coahuila,COH,Total,4043690,39
2051,Coahuila,COH,Mujeres,2048291,41
2051,Coahuila,COH,Hombres,2056349,40
1979,Coahuila,COH,Total,1526391,22
2017,Coahuila,COH,Hombres,1541283,30
2015,Coahuila,COH,Mujeres,1512565,30
2015,Coahuila,COH,Hombres,1504755,29
2066,Coahuila,COH,Total,4180682,44
2066,Coahuila,COH,Mujeres,2080686,45
1979,Coahuila,COH,Mujeres,760379,23
2024,Coahuila,COH,Hombres,1676558,31
1976,Coahuila,COH,Hombres,709993,22
1976,Coahuila,COH,Mujeres,700093,22
1976,Coahuila,COH,Total,1410086,22
1987,Coahuila,COH,Hombres,951936,24
1987,Coahuila,COH,Mujeres,949391,24
1975,Coahuila,COH,Mujeres,679913,22
1987,Coahuila,COH,Total,1901327,24
1997,Coahuila,COH,Mujeres,1130548,26
2017,Coahuila,COH,Mujeres,1548474,30
2060,Coahuila,COH,Mujeres,2081538,43
2066,Coahuila,COH,Hombres,2099996,44
2014,Coahuila,COH,Hombres,1484909,29
2014,Coahuila,COH,Mujeres,1494019,30
2014,Coahuila,COH,Total,2978928,29
2053,Coahuila,COH,Mujeres,2059516,41
2024,Coahuila,COH,Mujeres,1682433,32
2018,Coahuila,COH,Hombres,1559482,30
2038,Coahuila,COH,Total,3841300,36
1977,Coahuila,COH,Total,1449133,22
2049,Coahuila,COH,Mujeres,2034781,40
2049,Coahuila,COH,Hombres,2041304,39
2019,Coahuila,COH,Total,3162465,30
2019,Coahuila,COH,Hombres,1577501,30
2050,Coahuila,COH,Total,4090838,40
2050,Coahuila,COH,Hombres,2049017,39
2059,Coahuila,COH,Mujeres,2079971,43
2059,Coahuila,COH,Total,4174760,43
2023,Coahuila,COH,Total,3316738,32
2023,Coahuila,COH,Mujeres,1662061,32
2023,Coahuila,COH,Hombres,1654677,31
2048,Coahuila,COH,Hombres,2033209,39
2048,Coahuila,COH,Mujeres,2027149,40
2048,Coahuila,COH,Total,4060358,39
2049,Coahuila,COH,Total,4076085,40
2059,Coahuila,COH,Hombres,2094789,42
2021,Coahuila,COH,Mujeres,1621162,31
2024,Coahuila,COH,Total,3358991,32
1977,Coahuila,COH,Mujeres,720193,22
1977,Coahuila,COH,Hombres,728940,22
2040,Coahuila,COH,Total,3895230,37
2040,Coahuila,COH,Mujeres,1945705,38
2020,Coahuila,COH,Hombres,1594257,30
1995,Coahuila,COH,Total,2200397,25
2020,Coahuila,COH,Mujeres,1602865,31
1995,Coahuila,COH,Hombres,1098538,25
2040,Coahuila,COH,Hombres,1949525,36
2021,Coahuila,COH,Total,3232850,31
2021,Coahuila,COH,Hombres,1611688,30
2019,Coahuila,COH,Mujeres,1584964,31
2067,Coahuila,COH,Total,4178138,45
2067,Coahuila,COH,Mujeres,2078926,45
2067,Coahuila,COH,Hombres,2099212,44
1995,Coahuila,COH,Mujeres,1101859,26
1991,Colima,COL,Total,453420,24
1974,Colima,COL,Hombres,147415,21
1976,Colima,COL,Hombres,157142,22
2037,Colima,COL,Total,804107,39
1976,Colima,COL,Mujeres,155195,22
1976,Colima,COL,Total,312337,22
1991,Colima,COL,Mujeres,226565,25
2048,Colima,COL,Mujeres,409417,44
2037,Colima,COL,Mujeres,406518,40
1972,Colima,COL,Total,273713,22
2023,Colima,COL,Total,757405,33
2023,Colima,COL,Mujeres,382476,34
2023,Colima,COL,Hombres,374929,33
2048,Colima,COL,Hombres,400395,42
1991,Colima,COL,Hombres,226855,24
2061,Colima,COL,Mujeres,395087,48
1993,Colima,COL,Mujeres,237253,25
1993,Colima,COL,Total,474354,25
2048,Colima,COL,Total,809812,43
2029,Colima,COL,Hombres,387637,35
2029,Colima,COL,Total,783071,36
2045,Colima,COL,Mujeres,410055,43
2027,Colima,COL,Mujeres,391573,35
2027,Colima,COL,Hombres,384100,34
1993,Colima,COL,Hombres,237101,25
1972,Colima,COL,Mujeres,135839,22
2024,Colima,COL,Hombres,377465,33
1974,Colima,COL,Mujeres,145389,22
2068,Colima,COL,Mujeres,380750,50
2068,Colima,COL,Hombres,376374,49
2045,Colima,COL,Total,811192,42
1989,Colima,COL,Mujeres,216643,24
2061,Colima,COL,Hombres,388522,47
1972,Colima,COL,Hombres,137874,22
2068,Colima,COL,Total,757124,50
2037,Colima,COL,Hombres,397589,38
2032,Colima,COL,Hombres,391909,36
2069,Colima,COL,Hombres,374400,49
2033,Colima,COL,Mujeres,401868,38
1988,Colima,COL,Mujeres,212060,24
1988,Colima,COL,Hombres,212695,23
1994,Colima,COL,Hombres,242204,25
2002,Colima,COL,Mujeres,281171,27
2019,Colima,COL,Hombres,367034,31
2011,Colima,COL,Mujeres,340528,30
2057,Colima,COL,Mujeres,401340,47
2063,Colima,COL,Hombres,385316,48
2063,Colima,COL,Mujeres,391417,49
2055,Colima,COL,Mujeres,403894,46
2055,Colima,COL,Hombres,396166,45
2063,Colima,COL,Total,776733,48
1982,Colima,COL,Hombres,185372,22
1982,Colima,COL,Mujeres,184202,23
1988,Colima,COL,Total,424755,24
2033,Colima,COL,Hombres,393155,37
2032,Colima,COL,Mujeres,400422,37
1994,Colima,COL,Mujeres,242590,25
2033,Colima,COL,Total,795023,37
1973,Colima,COL,Hombres,142590,22
2024,Colima,COL,Total,762387,34
2046,Colima,COL,Total,810931,42
2044,Colima,COL,Mujeres,410027,42
2061,Colima,COL,Total,783609,48
2060,Colima,COL,Total,786827,47
2060,Colima,COL,Mujeres,396797,48
2060,Colima,COL,Hombres,390030,47
2025,Colima,COL,Hombres,379850,33
2047,Colima,COL,Hombres,400722,42
2047,Colima,COL,Mujeres,409740,43
2047,Colima,COL,Total,810462,43
2044,Colima,COL,Total,811224,42
2044,Colima,COL,Hombres,401197,41
2024,Colima,COL,Mujeres,384922,34
2012,Colima,COL,Hombres,342908,29
2032,Colima,COL,Total,792331,37
1990,Colima,COL,Total,443360,24
2021,Colima,COL,Hombres,370349,32
1990,Colima,COL,Mujeres,221434,24
1990,Colima,COL,Hombres,221926,24
2036,Colima,COL,Hombres,396567,38
2021,Colima,COL,Total,748315,32
2035,Colima,COL,Total,799912,38
2035,Colima,COL,Mujeres,404429,39
2035,Colima,COL,Hombres,395483,37
2043,Colima,COL,Hombres,401125,40
2067,Colima,COL,Hombres,378278,49
1995,Colima,COL,Total,495079,25
2067,Colima,COL,Total,761322,50
2043,Colima,COL,Mujeres,409886,42
2043,Colima,COL,Total,811011,41
2021,Colima,COL,Mujeres,377966,33
2040,Colima,COL,Hombres,400024,39
1971,Colima,COL,Hombres,133274,22
2067,Colima,COL,Mujeres,383044,50
1971,Colima,COL,Total,264532,22
2042,Colima,COL,Hombres,400915,40
2069,Colima,COL,Total,752785,50
2034,Colima,COL,Total,797546,38
2042,Colima,COL,Total,810542,41
2034,Colima,COL,Mujeres,403205,38
2034,Colima,COL,Hombres,394341,37
1977,Colima,COL,Mujeres,160134,22
2042,Colima,COL,Mujeres,409627,42
2022,Colima,COL,Total,752247,33
1977,Colima,COL,Total,322144,22
1995,Colima,COL,Mujeres,247863,25
2022,Colima,COL,Mujeres,379937,33
2040,Colima,COL,Mujeres,408742,41
2040,Colima,COL,Total,808766,40
1971,Colima,COL,Mujeres,131258,22
1977,Colima,COL,Hombres,162010,22
1995,Colima,COL,Hombres,247216,25
2026,Colima,COL,Total,771538,34
2022,Colima,COL,Hombres,372310,32
2062,Colima,COL,Total,780238,48
2062,Colima,COL,Mujeres,393291,49
2062,Colima,COL,Hombres,386947,47
1989,Colima,COL,Hombres,217239,24
2025,Colima,COL,Total,767105,34
2025,Colima,COL,Mujeres,387255,35
2030,Colima,COL,Mujeres,397204,37
2030,Colima,COL,Hombres,389168,35
2045,Colima,COL,Hombres,401137,41
2029,Colima,COL,Mujeres,395434,36
2046,Colima,COL,Hombres,400975,42
2028,Colima,COL,Hombres,385948,35
2028,Colima,COL,Mujeres,393558,36
2028,Colima,COL,Total,779506,35
2031,Colima,COL,Mujeres,398861,37
2031,Colima,COL,Hombres,390589,36
2031,Colima,COL,Total,789450,36
1973,Colima,COL,Mujeres,140547,22
2036,Colima,COL,Mujeres,405530,39
1973,Colima,COL,Total,283137,22
2036,Colima,COL,Total,802097,38
2046,Colima,COL,Mujeres,409956,43
1994,Colima,COL,Total,484794,25
2069,Colima,COL,Mujeres,378385,51
1989,Colima,COL,Total,433882,24
2030,Colima,COL,Total,786372,36
2066,Colima,COL,Mujeres,385256,50
1974,Colima,COL,Total,292804,22
2026,Colima,COL,Mujeres,389470,35
2026,Colima,COL,Hombres,382068,34
1975,Colima,COL,Hombres,152273,22
1975,Colima,COL,Mujeres,150296,22
1975,Colima,COL,Total,302569,22
1992,Colima,COL,Mujeres,231890,25
1992,Colima,COL,Hombres,231954,24
1992,Colima,COL,Total,463844,25
2012,Colima,COL,Mujeres,347255,30
2066,Colima,COL,Total,765370,49
2006,Colima,COL,Hombres,295469,28
2010,Colima,COL,Total,662102,29
1978,Colima,COL,Hombres,166832,22
1978,Colima,COL,Mujeres,165070,22
2056,Colima,COL,Mujeres,402673,47
2049,Colima,COL,Hombres,400007,43
2041,Colima,COL,Hombres,400540,40
2041,Colima,COL,Mujeres,409248,41
2041,Colima,COL,Total,809788,40
2002,Colima,COL,Total,559938,27
2038,Colima,COL,Hombres,398513,39
2038,Colima,COL,Mujeres,407381,40
2064,Colima,COL,Hombres,383629,48
1999,Colima,COL,Hombres,267757,26
1999,Colima,COL,Mujeres,269392,27
1999,Colima,COL,Total,537149,26
1986,Colima,COL,Hombres,203665,23
2003,Colima,COL,Total,567352,27
2003,Colima,COL,Mujeres,284997,28
2010,Colima,COL,Mujeres,333266,29
1985,Colima,COL,Total,397283,23
2002,Colima,COL,Hombres,278767,27
2038,Colima,COL,Total,805894,39
2009,Colima,COL,Total,645717,29
2049,Colima,COL,Mujeres,408968,44
2009,Colima,COL,Mujeres,325303,29
2049,Colima,COL,Total,808975,43
2059,Colima,COL,Total,789862,47
2059,Colima,COL,Mujeres,398404,48
2019,Colima,COL,Total,741130,32
2019,Colima,COL,Mujeres,374096,32
1985,Colima,COL,Hombres,199076,23
2009,Colima,COL,Hombres,320414,28
2011,Colima,COL,Hombres,336271,29
2003,Colima,COL,Hombres,282355,27
2004,Colima,COL,Hombres,285791,27
2010,Colima,COL,Hombres,328836,29
2054,Colima,COL,Mujeres,405019,46
1981,Colima,COL,Mujeres,179588,23
2065,Colima,COL,Mujeres,387388,50
2064,Colima,COL,Total,773068,49
1984,Colima,COL,Mujeres,193495,23
2064,Colima,COL,Mujeres,389439,49
2017,Colima,COL,Total,732464,31
2018,Colima,COL,Total,736743,31
2065,Colima,COL,Total,769288,49
2050,Colima,COL,Total,807959,44
1984,Colima,COL,Total,387959,23
1996,Colima,COL,Total,505787,25
1996,Colima,COL,Mujeres,253298,26
2018,Colima,COL,Mujeres,371613,32
2059,Colima,COL,Hombres,391458,46
1981,Colima,COL,Total,360452,22
1978,Colima,COL,Total,331902,22
2058,Colima,COL,Total,792729,47
2056,Colima,COL,Hombres,395163,45
1986,Colima,COL,Mujeres,202896,23
1984,Colima,COL,Hombres,194464,23
2020,Colima,COL,Hombres,368812,32
1986,Colima,COL,Total,406561,23
2053,Colima,COL,Total,803830,45
2053,Colima,COL,Mujeres,406024,46
2053,Colima,COL,Hombres,397806,44
2020,Colima,COL,Total,745122,32
2020,Colima,COL,Mujeres,376310,33
2066,Colima,COL,Hombres,380114,49
2017,Colima,COL,Hombres,363238,30
2058,Colima,COL,Mujeres,399926,47
1996,Colima,COL,Hombres,252489,25
2018,Colima,COL,Hombres,365130,31
2050,Colima,COL,Mujeres,408403,45
2050,Colima,COL,Hombres,399556,43
2017,Colima,COL,Mujeres,369226,31
2058,Colima,COL,Hombres,392803,46
1985,Colima,COL,Mujeres,198207,23
2056,Colima,COL,Total,797836,46
2027,Colima,COL,Total,775673,35
2051,Colima,COL,Hombres,399043,43
2065,Colima,COL,Hombres,381900,48
2016,Colima,COL,Total,728544,31
2016,Colima,COL,Mujeres,367031,31
2016,Colima,COL,Hombres,361513,30
2011,Colima,COL,Total,676799,29
1970,Colima,COL,Hombres,128866,22
1970,Colima,COL,Mujeres,126883,22
1970,Colima,COL,Total,255749,22
2005,Colima,COL,Hombres,289600,28
2005,Colima,COL,Mujeres,293406,28
2005,Colima,COL,Total,583006,28
2055,Colima,COL,Total,800060,46
1979,Colima,COL,Mujeres,170020,22
1979,Colima,COL,Total,341627,22
2052,Colima,COL,Mujeres,406924,45
2007,Colima,COL,Hombres,303230,28
1983,Colima,COL,Mujeres,188840,23
2001,Colima,COL,Hombres,275153,27
1987,Colima,COL,Hombres,208182,23
2006,Colima,COL,Total,595479,28
1983,Colima,COL,Total,378746,23
1997,Colima,COL,Hombres,257898,25
1997,Colima,COL,Mujeres,258830,26
1997,Colima,COL,Total,516728,26
2052,Colima,COL,Total,805389,45
1979,Colima,COL,Hombres,171607,22
2057,Colima,COL,Hombres,394036,46
2012,Colima,COL,Total,690163,29
2004,Colima,COL,Mujeres,288905,28
1981,Colima,COL,Hombres,180864,22
2004,Colima,COL,Total,574696,28
2001,Colima,COL,Total,552590,27
2001,Colima,COL,Mujeres,277437,27
1987,Colima,COL,Total,415667,23
1987,Colima,COL,Mujeres,207485,24
2007,Colima,COL,Mujeres,308417,29
2057,Colima,COL,Total,795376,46
2039,Colima,COL,Mujeres,408118,40
2014,Colima,COL,Total,715359,30
2070,Colima,COL,Hombres,372356,50
1998,Colima,COL,Total,527152,26
2070,Colima,COL,Mujeres,375944,51
2070,Colima,COL,Total,748300,50
2006,Colima,COL,Mujeres,300010,29
1998,Colima,COL,Mujeres,264176,26
2039,Colima,COL,Total,807457,40
2051,Colima,COL,Mujeres,407728,45
2052,Colima,COL,Hombres,398465,44
2051,Colima,COL,Total,806771,44
2015,Colima,COL,Total,724011,30
2015,Colima,COL,Mujeres,364545,31
2015,Colima,COL,Hombres,359466,30
1998,Colima,COL,Hombres,262976,26
1983,Colima,COL,Hombres,189906,22
1982,Colima,COL,Total,369574,22
2007,Colima,COL,Total,611647,28
2013,Colima,COL,Hombres,349221,29
2014,Colima,COL,Mujeres,360060,30
2014,Colima,COL,Hombres,355299,29
2039,Colima,COL,Hombres,399339,39
2000,Colima,COL,Total,545502,27
2000,Colima,COL,Mujeres,273784,27
2008,Colima,COL,Total,628547,29
2008,Colima,COL,Mujeres,316947,29
2000,Colima,COL,Hombres,271718,26
2013,Colima,COL,Mujeres,353771,30
2008,Colima,COL,Hombres,311600,28
2054,Colima,COL,Total,802065,45
1980,Colima,COL,Hombres,176312,22
1980,Colima,COL,Mujeres,174888,22
1980,Colima,COL,Total,351200,22
2013,Colima,COL,Total,702992,30
2054,Colima,COL,Hombres,397046,45
2066,Durango,DGO,Hombres,998131,44
1997,Durango,DGO,Mujeres,741222,25
2032,Durango,DGO,Total,1997160,34
1997,Durango,DGO,Total,1472087,25
2040,Durango,DGO,Mujeres,1036756,38
2066,Durango,DGO,Mujeres,1012695,46
2025,Durango,DGO,Mujeres,971931,32
2014,Durango,DGO,Hombres,874414,28
1975,Durango,DGO,Total,1100506,21
2021,Durango,DGO,Total,1870186,30
2040,Durango,DGO,Total,2053521,37
2014,Durango,DGO,Total,1772225,29
2047,Durango,DGO,Total,2074186,39
2014,Durango,DGO,Mujeres,897811,29
2067,Durango,DGO,Mujeres,1008694,46
2017,Durango,DGO,Mujeres,919988,30
2017,Durango,DGO,Hombres,900194,29
1975,Durango,DGO,Mujeres,542571,21
2067,Durango,DGO,Hombres,994824,45
2023,Durango,DGO,Hombres,940981,30
2050,Durango,DGO,Total,2075409,40
2023,Durango,DGO,Mujeres,958476,32
2023,Durango,DGO,Total,1899457,31
2050,Durango,DGO,Mujeres,1048333,41
1997,Durango,DGO,Hombres,730865,25
1987,Durango,DGO,Hombres,671075,23
2048,Durango,DGO,Mujeres,1048281,40
2048,Durango,DGO,Total,2074986,40
2016,Durango,DGO,Total,1806708,29
2016,Durango,DGO,Mujeres,914017,30
2016,Durango,DGO,Hombres,892691,29
1987,Durango,DGO,Total,1346121,23
1987,Durango,DGO,Mujeres,675046,23
1976,Durango,DGO,Total,1121720,21
2050,Durango,DGO,Hombres,1027076,40
1975,Durango,DGO,Hombres,557935,21
2066,Durango,DGO,Total,2010826,45
2015,Durango,DGO,Total,1791588,29
1981,Durango,DGO,Total,1219538,22
1989,Durango,DGO,Hombres,689280,23
2054,Durango,DGO,Hombres,1026179,41
2008,Durango,DGO,Total,1627873,27
2008,Durango,DGO,Mujeres,827259,28
2008,Durango,DGO,Hombres,800614,27
2035,Durango,DGO,Hombres,999538,35
2061,Durango,DGO,Mujeres,1029899,44
2061,Durango,DGO,Total,2043109,44
2044,Durango,DGO,Total,2069060,38
2044,Durango,DGO,Mujeres,1044765,39
2044,Durango,DGO,Hombres,1024295,38
2017,Durango,DGO,Total,1820182,29
2015,Durango,DGO,Hombres,884425,28
2048,Durango,DGO,Hombres,1026705,39
2024,Durango,DGO,Mujeres,965414,32
2026,Durango,DGO,Hombres,961437,31
2019,Durango,DGO,Hombres,914624,29
2015,Durango,DGO,Mujeres,907163,29
2025,Durango,DGO,Hombres,955197,31
2060,Durango,DGO,Total,2048612,43
2060,Durango,DGO,Mujeres,1032741,44
2047,Durango,DGO,Mujeres,1047825,40
2047,Durango,DGO,Hombres,1026361,39
1979,Durango,DGO,Hombres,594476,21
1979,Durango,DGO,Mujeres,585502,22
1979,Durango,DGO,Total,1179978,22
1978,Durango,DGO,Mujeres,575252,22
1978,Durango,DGO,Hombres,586139,21
1996,Durango,DGO,Total,1469335,25
2051,Durango,DGO,Hombres,1027118,40
2051,Durango,DGO,Mujeres,1047930,41
2051,Durango,DGO,Total,2075048,41
1996,Durango,DGO,Hombres,730408,24
2060,Durango,DGO,Hombres,1015871,43
2052,Durango,DGO,Total,2074283,41
2022,Durango,DGO,Total,1884286,31
2019,Durango,DGO,Total,1846325,30
1995,Durango,DGO,Mujeres,735603,25
2019,Durango,DGO,Mujeres,931701,30
1970,Durango,DGO,Mujeres,485354,21
1970,Durango,DGO,Total,990731,21
1977,Durango,DGO,Mujeres,564715,22
2027,Durango,DGO,Hombres,967057,32
2027,Durango,DGO,Mujeres,983820,33
2021,Durango,DGO,Hombres,926150,30
2068,Durango,DGO,Total,1995867,46
2038,Durango,DGO,Mujeres,1031144,37
2038,Durango,DGO,Hombres,1010502,36
2068,Durango,DGO,Mujeres,1004523,46
1995,Durango,DGO,Hombres,727908,24
2021,Durango,DGO,Mujeres,944036,31
1970,Durango,DGO,Hombres,505377,21
2052,Durango,DGO,Hombres,1027027,40
1993,Durango,DGO,Total,1443600,24
2012,Durango,DGO,Total,1724700,28
1977,Durango,DGO,Hombres,577310,21
1980,Durango,DGO,Hombres,603029,22
1980,Durango,DGO,Total,1198946,22
2020,Durango,DGO,Mujeres,937633,31
2020,Durango,DGO,Hombres,920522,30
1998,Durango,DGO,Hombres,730351,25
1998,Durango,DGO,Mujeres,742972,25
1980,Durango,DGO,Mujeres,595917,22
1993,Durango,DGO,Mujeres,725740,24
1998,Durango,DGO,Total,1473323,25
2038,Durango,DGO,Total,2041646,36
2027,Durango,DGO,Total,1950877,32
1977,Durango,DGO,Total,1142025,21
2046,Durango,DGO,Total,2072973,39
2046,Durango,DGO,Mujeres,1047083,40
